"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"Malvern Hills",NA,216,190,223,265,18.8340807174888,NA,62.7962085308057
"Fenland",NA,298,327,311,261,-16.0771704180064,NA,4350
"Blaby",NA,194,204,203,244,20.1970443349754,NA,150.617283950617
"Tamworth",NA,297,262,272,235,-13.6029411764706,NA,22.5095785440613
"North Kesteven",NA,317,235,298.1,219,-26.5347198926535,NA,58.0901856763926
"South Norfolk",NA,344,278,369,208,-43.6314363143631,NA,53.3333333333333
"Selby",NA,130,147,-143,204,-242.657342657343,NA,62.962962962963
"Corby",NA,NA,NA,215,203,-5.58139534883722,NA,94.4186046511628
"Richmondshire",NA,131,141,169,186,10.0591715976331,NA,43.0555555555556
"Ashfield",NA,122,139,110,179,62.7272727272727,NA,111.180124223602
"South Ribble",NA,142,119,201,168,-16.4179104477612,NA,106.329113924051
"Daventry",NA,NA,NA,143,167,16.7832167832168,NA,1043.75
"Oadby & Wigston",NA,119,179,173,167,-3.46820809248555,NA,538.709677419355
"Eden",NA,202,198,149,166,11.4093959731544,NA,45.8563535911602
"Pendle",NA,125,142,132,166,25.7575757575758,NA,224.324324324324
"South Holland",NA,197,188,181,159,-12.1546961325967,NA,65.9751037344398
"Tandridge",NA,170,183,149,157,5.36912751677852,NA,74.4075829383886
"Forest of Dean",NA,193,208,74,156,110.810810810811,NA,100.645161290323
"Bracknell Forest",NA,149,152,87,129,48.2758620689655,NA,157.317073170732
"North Warwickshire",NA,113,105,115,113,-1.73913043478261,NA,627.777777777778
"Norfolk",NA,72,92,102,111,8.8235294117647,NA,104.716981132075
"Hyndburn",NA,108,103,105,108,2.85714285714285,NA,NA
"Redditch",NA,107,100,83,105,26.5060240963855,NA,110.526315789474
"South Derbyshire",NA,74,76,78,92,17.948717948718,NA,NA
"South Staffordshire",NA,99,97,96,92,-4.16666666666666,NA,400
"East Cambridgeshire",NA,169,426,229,73,-68.1222707423581,NA,112.307692307692
"Nottinghamshire",NA,418,206,66,69,4.54545454545455,NA,89.6103896103896
"East Northamptonshire",NA,NA,NA,55,67,21.8181818181818,NA,6700
"Rossendale",NA,0,67,66,63,-4.54545454545455,NA,NA
"South Northamptonshire",NA,NA,NA,47,46,-2.12765957446808,NA,4600
"Broadland",NA,28,29,28,39,39.2857142857143,NA,3900
"Surrey Heath",NA,752,681,737,12,-98.3717774762551,NA,240
"Bolsover",NA,0,0,0,0,0,NA,NA
"Cherwell",NA,610,780,899,0,-100,NA,NA
"Doncaster",NA,0,0,0,0,0,NA,NA
"Hertfordshire",NA,0,0,0,0,0,NA,NA
"Isles of Scilly",NA,NA,0,0,0,0,NA,NA
"Kent",NA,0,0,0,0,0,NA,NA
"Melton",NA,282,281,283,0,-100,NA,NA
"North East Derbyshire",NA,38,42,0,0,0,NA,NA
"South Cambridgeshire",NA,0,0,0,0,0,NA,NA
"Suffolk",NA,0,0,0,0,0,NA,NA
"Worcestershire",NA,0,0,0,0,0,NA,NA
"Reigate & Banstead",2200,899,1035,NA,NA,NA,NA,NA
"Telford & Wrekin",545,611,518,NA,NA,NA,NA,NA
"Total for London",0,260.517928282065,273.756507808512,273.540851989737,281.565,2.93343679815837,NA,0.038746072963411
"Total for rest of England",2.745,448.904910520573,459.535505430868,500.612570002614,557.964,11.4562504886937,277.586064558775,0.0555903266590748
"Total for all of England",2.745,709.422838802639,733.292013239381,774.153421992351,839.529,8.44478318514687,318.189706270162,0.0485164701803051
